Year,vis,infovis,vast,scivis
1990,53,0,0,0
1991,50,0,0,0
1992,53,0,0,0
1993,55,0,0,0
1994,53,0,0,0
1995,54,18,0,0
1996,64,12,0,0
1997,71,16,0,0
1998,72,18,0,0
1999,69,19,0,0
2000,73,19,0,0
2001,74,2,0,0
2002,78,23,0,0
2003,74,29,0,0
2004,70,27,0,0
2005,87,31,0,0
2006,63,24,26,0
2007,56,27,24,0
2008,50,28,21,0
2009,54,36,26,0
2010,48,35,26,0
2011,49,44,26,0
2012,0,44,30,42
2013,0,38,32,31
2014,0,45,54,34
2015,0,38,47,42
2016,0,37,48,30
2017,0,39,52,23
2018,0,47,48,32
2019,0,53,51,25
2020,0,64,61,32
2021,109,0,0,0
2022,118,0,0,0
2023,133,0,0,0
2024,124,0,0,0
